時間戳記,分析對象,您/對方的星座,耐性,脾氣暴躁,幼稚,頑固,心思細膩,保守,冷靜,樂觀,活潑,公正,優柔寡斷,強勢,浪漫,過度理想化,斤斤計較,心機重,完美主義,愛計仇,與眾不同,愛面子,有魅力,正義感,重視友情,專情,愛哭,顧家,體貼,情緒化,口才,創意,對表單有什麼建議或想法嗎？,潔癖
2017/12/30 下午 12:45:01,我本人,金牛座,4,4,3,4,4,3,2,4,3,3,4,3,3,2,4,3,3,2,3,4,2,4,4,3,2,4,4,4,3,3,,2
2017/12/30 下午 12:45:02,我本人,摩羯座,2,3,3,1,4,2,3,4,3,3,5,3,3,1,1,3,2,5,3,2,3,4,4,5,2,4,5,1,3,3,,2
2017/12/30 下午 12:45:02,我本人,天秤座,1,5,2,2,4,2,4,4,4,4,5,5,2,2,2,1,5,2,5,5,4,4,5,5,4,5,4,4,4,4,,4
2017/12/30 下午 12:45:04,我本人,摩羯座,3,1,2,2,1,4,4,2,2,3,4,3,3,1,2,4,3,5,4,5,3,4,5,4,1,3,4,1,2,2,,2
2017/12/30 下午 12:45:08,我本人,雙子座,2,3,4,3,2,3,4,3,2,4,3,4,1,2,2,2,4,4,3,5,3,3,4,3,3,3,2,2,3,3,,2
2017/12/30 下午 12:45:09,我本人,雙子座,2,1,3,2,3,3,3,3,4,3,3,2,4,4,2,2,2,2,3,3,3,3,4,3,4,3,4,4,4,5,,3
2017/12/30 下午 12:45:11,我本人,天蠍座,3,3,4,3,3,3,2,5,5,3,2,4,4,3,3,3,3,4,3,4,3,4,5,5,3,3,4,5,3,3,,2
2017/12/30 下午 12:45:13,他人,天秤座,2,4,3,4,3,3,4,2,3,5,5,5,3,1,3,2,2,2,3,5,3,3,5,3,2,3,3,5,3,2,,3
2017/12/30 下午 12:45:14,我本人,牡羊座,2,3,5,2,2,3,2,5,5,3,5,4,2,4,2,3,2,2,2,4,1,3,4,3,3,4,3,4,4,2,沒有,2
2017/12/30 下午 12:45:15,我本人,金牛座,3,3,3,4,4,3,4,4,3,3,1,4,2,3,2,2,1,1,4,4,3,3,4,4,2,2,4,3,3,4,,2
2017/12/30 下午 12:45:41,我本人,雙子座,3,2,4,3,4,3,4,3,4,3,3,2,3,3,2,2,4,2,3,4,3,4,4,4,3,3,4,4,4,4,,3
2017/12/30 下午 12:45:46,我本人,金牛座,3,3,2,3,2,3,4,2,1,5,3,4,3,5,3,2,2,2,5,4,2,2,5,5,3,3,2,2,2,2,,4
2017/12/30 下午 12:45:51,我本人,巨蟹座,4,2,3,4,4,3,4,1,3,4,5,2,3,5,4,2,3,3,3,4,3,5,5,5,5,4,4,4,3,3,,3
2017/12/30 下午 12:45:51,我本人,牡羊座,2,5,5,3,2,1,4,3,4,5,2,4,2,5,1,2,2,1,5,4,3,4,5,5,2,4,4,5,4,5,,2
2017/12/30 下午 12:45:54,我本人,金牛座,3,3,3,4,3,2,3,5,5,3,4,4,3,3,1,2,2,2,3,3,3,4,5,3,4,4,4,3,4,4,,3
2017/12/30 下午 12:45:55,我本人,水瓶座,4,2,3,2,3,4,3,3,3,4,5,3,3,2,3,2,1,2,3,3,3,3,4,4,3,4,3,3,3,4,,4
2017/12/30 下午 12:45:56,我本人,射手座,2,2,4,1,3,2,4,3,3,4,2,2,2,2,3,2,2,1,5,3,4,2,5,4,1,2,3,2,2,5,,2
2017/12/30 下午 12:46:03,我本人,雙子座,3,4,3,3,4,3,3,3,4,3,4,4,2,4,3,3,4,3,3,4,2,4,4,2,3,4,4,4,4,4,,3
2017/12/30 下午 12:46:03,我本人,水瓶座,3,3,5,4,4,3,4,5,3,4,4,2,2,2,2,2,2,2,5,4,3,4,5,5,4,5,4,3,4,4,,4
2017/12/30 下午 12:46:07,我本人,獅子座,2,3,3,3,2,2,2,3,3,3,2,4,2,4,2,2,1,2,3,4,2,4,5,4,3,3,4,5,3,3,,2
2017/12/30 下午 12:46:08,我本人,摩羯座,4,3,4,3,3,2,3,2,4,4,3,2,3,2,1,2,2,2,3,2,2,3,4,5,3,3,4,3,3,4,,2
2017/12/30 下午 12:46:09,我本人,牡羊座,5,4,4,4,4,4,3,4,4,4,2,4,4,4,4,3,4,4,5,5,4,5,5,4,5,4,4,5,4,4,辛苦了！！你們加油💪,4
2017/12/30 下午 12:46:10,他人,天秤座,5,1,2,3,5,3,4,3,2,3,4,4,3,3,1,1,4,4,4,3,5,3,3,5,2,4,4,2,5,2,呦,5
2017/12/30 下午 12:46:13,我本人,獅子座,3,3,2,2,4,2,3,4,3,3,4,3,3,2,2,2,4,2,3,3,3,4,5,4,2,3,4,3,3,4,,3
2017/12/30 下午 12:46:13,我本人,雙子座,2,3,2,3,4,3,3,2,3,3,4,3,3,2,4,4,4,2,4,3,3,3,4,4,3,3,4,3,4,4,,4
2017/12/30 下午 12:46:14,我本人,天秤座,2,3,4,3,2,4,3,3,2,2,4,2,3,4,3,1,4,3,2,4,1,3,4,5,3,2,3,4,2,4,,4
2017/12/30 下午 12:46:17,我本人,天秤座,3,3,2,3,2,4,3,2,3,2,4,4,2,3,2,2,4,3,3,4,2,3,4,3,3,3,3,3,3,3,沒有w,2
2017/12/30 下午 12:46:23,他人,處女座,3,3,3,3,4,4,3,4,4,3,5,4,2,2,1,2,4,3,4,5,5,4,4,4,1,3,4,2,3,4,,4
2017/12/30 下午 12:46:24,我本人,牡羊座,2,4,4,2,2,2,4,5,5,4,4,3,2,2,4,5,2,4,4,5,4,4,5,4,3,2,3,4,4,3,,1
2017/12/30 下午 12:46:28,我本人,雙魚座,4,3,2,1,4,2,4,1,5,3,4,4,3,3,3,2,3,2,3,3,3,3,5,5,5,4,5,4,3,3,,3
2017/12/30 下午 12:46:30,我本人,雙魚座,3,3,4,3,4,2,2,3,3,3,3,3,4,3,4,3,2,2,2,3,3,3,3,3,4,5,4,4,2,2,,4
2017/12/30 下午 12:46:32,我本人,雙魚座,3,3,4,3,4,2,2,3,3,3,3,3,4,3,4,3,2,2,2,3,3,3,3,3,4,5,4,4,2,2,,4
2017/12/30 下午 12:46:36,我本人,牡羊座,2,4,4,3,2,4,4,2,2,3,4,2,4,4,2,2,4,2,3,5,3,4,4,5,4,4,3,5,2,3,,4
2017/12/30 下午 12:46:38,我本人,天秤座,2,2,2,2,1,2,3,3,3,4,5,1,5,4,2,3,2,2,4,4,3,4,4,3,3,2,4,3,4,4,,3
2017/12/30 下午 12:46:38,我本人,巨蟹座,4,3,4,1,5,3,2,3,3,2,3,2,5,4,2,2,4,4,4,2,2,4,5,4,5,5,5,5,4,4,,3
2017/12/30 下午 12:46:42,我本人,處女座,3,4,4,4,3,3,4,4,3,3,2,3,3,2,3,3,3,4,3,3,2,3,5,3,3,3,3,4,2,2,希望會有不一樣的結論，祝你們順利,3
2017/12/30 下午 12:46:43,我本人,摩羯座,3,3,3,3,2,2,4,3,3,5,4,4,3,2,2,3,4,3,3,3,3,5,5,5,4,5,5,3,3,3,期待結果～,4
2017/12/30 下午 12:46:45,我本人,處女座,5,3,2,4,3,4,3,2,3,4,5,2,3,4,3,2,4,4,2,4,3,4,5,5,4,3,5,4,3,4,,4
2017/12/30 下午 12:46:46,我本人,雙魚座,3,2,3,3,3,4,4,5,4,3,5,2,3,3,3,2,2,2,4,3,1,4,5,4,2,4,5,2,3,2,,1
2017/12/30 下午 12:46:47,我本人,射手座,4,3,3,3,4,4,3,5,4,3,4,3,3,3,3,3,3,3,3,2,2,3,4,5,5,4,4,4,3,3,,4
2017/12/30 下午 12:46:50,我本人,雙子座,3,4,3,4,5,5,4,3,2,4,3,3,2,2,4,3,3,4,4,3,3,4,4,4,4,4,4,4,3,4,,4
2017/12/30 下午 12:46:50,我本人,巨蟹座,3,2,3,1,4,1,4,2,4,5,2,4,3,2,2,2,2,3,5,1,3,4,5,4,4,1,5,2,4,3,,2
2017/12/30 下午 12:46:51,我本人,天蠍座,3,4,2,5,5,3,3,2,4,3,3,4,4,2,2,4,5,5,5,3,3,4,3,4,2,3,3,4,4,4,,3
2017/12/30 下午 12:46:51,我本人,天蠍座,4,3,5,3,4,4,5,4,3,3,3,3,3,3,1,2,4,3,3,3,3,4,4,4,2,3,4,3,2,2,,3
2017/12/30 下午 12:46:53,我本人,牡羊座,1,3,4,2,2,2,3,5,5,3,4,1,3,3,3,1,5,1,4,5,4,3,4,5,3,1,3,4,3,4,,3
2017/12/30 下午 12:47:01,我本人,摩羯座,2,3,1,2,3,4,4,2,3,3,3,4,2,2,4,2,4,5,4,5,4,5,4,4,3,4,3,2,4,4,很有趣😂,3
2017/12/30 下午 12:47:03,我本人,獅子座,4,1,4,2,2,4,3,4,4,3,1,4,5,5,4,4,4,5,5,5,4,5,5,5,2,3,4,4,5,4,,4
2017/12/30 下午 12:47:13,我本人,處女座,2,3,4,4,4,2,2,2,1,3,5,1,5,4,4,3,5,1,2,5,1,3,4,5,5,4,2,5,4,1,,4
2017/12/30 下午 12:47:17,我本人,摩羯座,3,2,2,3,4,4,4,3,2,3,4,3,2,2,3,2,3,3,3,3,2,3,4,4,3,3,3,2,3,3,,3
2017/12/30 下午 12:47:20,我本人,處女座,2,4,4,2,3,1,4,4,5,4,4,4,1,5,1,2,5,2,3,4,3,5,5,5,4,2,5,5,3,4,,3
2017/12/30 下午 12:47:22,我本人,射手座,3,3,3,3,2,3,3,4,3,4,2,2,4,3,2,1,3,1,2,2,3,4,4,5,4,3,3,3,1,3,,2
2017/12/30 下午 12:47:27,我本人,雙魚座,4,3,3,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,,3
2017/12/30 下午 12:47:31,我本人,巨蟹座,4,2,4,4,4,4,3,2,2,5,5,3,4,2,1,1,4,2,5,4,3,5,4,5,5,5,5,3,1,4,,4
2017/12/30 下午 12:47:33,我本人,水瓶座,3,3,4,4,2,2,3,4,5,2,5,3,3,3,3,3,2,3,4,3,4,3,5,5,2,2,4,2,3,4,,2
2017/12/30 下午 12:47:33,我本人,水瓶座,3,3,4,3,3,4,2,3,3,3,5,3,3,4,4,2,3,2,3,3,2,3,4,3,3,2,3,3,2,3,無,3
2017/12/30 下午 12:47:37,我本人,射手座,3,2,5,1,3,2,3,5,5,2,1,4,4,2,1,1,1,1,4,1,4,4,5,4,4,2,4,3,4,3,,2
2017/12/30 下午 12:47:39,我本人,巨蟹座,2,3,2,4,4,3,1,1,2,3,5,2,4,4,3,2,4,4,3,4,2,3,4,4,5,4,4,5,3,2,,2
2017/12/30 下午 12:47:43,我本人,摩羯座,3,3,2,4,5,3,4,4,3,3,3,5,4,3,3,4,4,4,4,5,4,3,3,4,2,3,3,3,4,4,,4
2017/12/30 下午 12:47:47,我本人,巨蟹座,3,3,5,4,5,3,2,1,4,5,5,2,4,5,3,2,4,3,3,3,2,4,4,5,5,5,5,5,3,4,,3
2017/12/30 下午 12:47:54,我本人,雙魚座,1,4,4,4,2,3,1,1,3,2,5,1,5,5,3,4,1,2,3,3,2,3,3,2,5,3,5,5,1,5,,1
2017/12/30 下午 12:48:01,我本人,天蠍座,3,2,3,2,3,2,4,4,4,4,3,3,4,3,3,3,3,2,3,4,3,4,4,4,3,4,4,2,4,4,,2
2017/12/30 下午 12:48:05,我本人,天蠍座,3,3,4,5,4,4,2,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,4,4,3,3,4,4,3,3,,3
2017/12/30 下午 12:48:09,我本人,天蠍座,2,4,4,4,4,3,3,4,4,3,5,4,4,4,2,3,4,4,4,2,3,4,5,4,4,4,4,4,2,4,,4
2017/12/30 下午 12:48:10,我本人,雙子座,3,3,3,3,3,3,4,4,2,3,4,3,3,2,3,2,3,2,2,4,3,4,4,5,1,4,3,4,3,3,,4
2017/12/30 下午 12:48:13,我本人,雙子座,2,3,2,2,4,2,3,3,3,3,4,4,4,4,3,2,4,1,3,2,4,4,4,4,3,3,4,4,3,4,,4
2017/12/30 下午 12:48:13,我本人,天秤座,3,3,5,3,3,2,3,3,4,5,5,3,2,2,4,2,3,3,3,4,4,3,5,5,3,3,4,3,3,2,無,4
2017/12/30 下午 12:48:14,我本人,處女座,4,3,2,4,5,3,3,2,4,4,3,3,3,2,3,4,4,2,4,4,3,4,4,4,5,3,4,3,3,3,,3
2017/12/30 下午 12:48:25,我本人,雙子座,2,1,3,3,4,2,3,3,3,2,1,4,2,2,1,4,1,1,4,4,4,3,5,4,3,1,2,3,3,3,,1
2017/12/30 下午 12:48:27,我本人,獅子座,2,4,2,2,4,3,2,4,4,4,2,4,4,3,3,4,3,2,3,5,4,5,5,5,4,5,4,4,4,5,,2
2017/12/30 下午 12:48:29,我本人,射手座,2,4,2,3,5,2,3,3,4,5,4,4,3,2,2,3,4,2,4,3,3,5,4,4,5,4,4,4,5,3,加油,3
2017/12/30 下午 12:48:34,我本人,獅子座,2,2,5,2,3,3,2,2,2,4,1,4,5,2,1,4,3,4,3,5,4,4,5,5,5,4,5,4,1,4,,4
2017/12/30 下午 12:48:35,我本人,牡羊座,2,4,4,3,4,3,2,5,5,4,3,4,4,3,2,3,4,2,5,5,3,5,5,4,4,5,4,4,4,5,,1
2017/12/30 下午 12:48:35,我本人,處女座,2,1,2,3,4,3,4,2,2,2,2,2,2,2,2,4,2,4,3,2,2,2,3,3,1,2,4,2,2,4,,2
2017/12/30 下午 12:48:35,我本人,射手座,1,2,4,4,1,3,4,4,4,2,5,4,3,4,4,1,2,2,2,2,2,4,4,4,4,4,2,5,2,5,,2
2017/12/30 下午 12:48:36,我本人,巨蟹座,2,4,2,3,5,4,3,1,3,3,5,3,4,4,4,3,3,3,4,4,4,3,5,4,4,4,5,4,5,4,,3
2017/12/30 下午 12:48:37,我本人,摩羯座,3,3,4,3,4,3,3,3,5,4,4,2,5,5,4,2,2,3,3,3,2,2,4,5,5,4,4,5,3,3,,3
2017/12/30 下午 12:48:37,我本人,天蠍座,4,2,3,2,1,3,4,5,5,2,3,4,2,1,4,3,4,3,5,1,3,4,4,5,5,4,2,3,3,3,,4
2017/12/30 下午 12:48:38,我本人,摩羯座,3,4,2,4,4,4,4,2,2,3,4,2,2,2,3,3,4,3,3,3,3,4,3,4,3,4,4,4,2,2,,3
2017/12/30 下午 12:48:41,我本人,金牛座,4,2,4,4,4,3,4,4,2,4,5,1,2,2,3,2,3,4,3,3,1,4,4,4,5,3,4,5,1,2,,4
2017/12/30 下午 12:48:44,我本人,獅子座,4,3,4,2,3,3,3,4,4,4,3,3,3,3,2,2,2,1,3,4,3,4,4,4,4,4,4,2,3,4,,2
2017/12/30 下午 12:48:44,我本人,金牛座,4,2,3,4,3,4,3,3,2,3,3,1,3,2,3,2,2,3,3,4,1,2,5,5,5,4,4,3,1,2,,2
2017/12/30 下午 12:48:45,我本人,水瓶座,3,3,4,4,4,2,2,3,4,3,5,3,4,3,3,2,4,3,4,4,2,4,5,3,5,4,4,5,2,4,,3
2017/12/30 下午 12:48:47,我本人,雙魚座,4,3,4,3,5,3,3,5,5,2,5,3,5,3,3,3,3,3,4,4,2,4,5,5,4,3,4,4,3,2,,3
2017/12/30 下午 12:48:49,我本人,水瓶座,1,5,4,5,1,3,5,3,3,5,5,5,4,5,1,1,1,5,5,5,4,5,5,5,1,5,5,4,4,4,,1
2017/12/30 下午 12:48:50,我本人,巨蟹座,2,4,5,2,4,2,1,4,5,2,5,1,4,4,3,2,4,3,4,2,4,3,5,5,5,4,4,5,3,4,,4
2017/12/30 下午 12:48:57,我本人,金牛座,4,2,4,4,4,5,4,2,2,3,5,2,2,2,2,2,5,5,2,5,3,4,4,5,2,4,3,2,1,2,無，期末加油,4
2017/12/30 下午 12:48:59,我本人,射手座,3,2,5,3,3,2,5,1,1,5,4,1,1,1,1,1,1,2,5,1,1,2,4,5,2,3,5,4,4,2,,1
2017/12/30 下午 12:49:00,我本人,水瓶座,4,2,3,1,4,2,3,4,4,4,3,3,3,2,3,3,2,2,3,3,3,3,4,4,2,4,4,3,3,3,,2
2017/12/30 下午 12:49:01,我本人,雙子座,2,3,2,4,2,2,4,3,3,4,2,4,2,2,4,2,5,1,5,4,1,5,4,3,3,1,2,4,5,4,,2
2017/12/30 下午 12:49:01,我本人,水瓶座,2,3,3,4,4,2,4,3,3,4,5,3,3,2,1,3,3,2,4,5,3,5,5,5,4,4,4,3,4,3,,3
2017/12/30 下午 12:49:02,我本人,處女座,2,3,1,2,4,3,4,4,3,5,4,4,4,1,2,1,4,3,4,4,5,5,5,5,2,5,4,4,4,4,,4
2017/12/30 下午 12:49:02,我本人,天秤座,3,3,2,2,3,3,3,2,4,3,4,3,4,2,2,4,3,4,2,4,4,4,4,4,3,4,4,4,4,3,讚,3
2017/12/30 下午 12:49:07,我本人,天蠍座,4,1,4,4,4,2,4,4,3,4,4,2,2,4,4,3,3,3,4,3,3,4,4,3,3,4,3,2,3,4,,3
2017/12/30 下午 12:49:13,我本人,巨蟹座,2,2,3,3,4,3,3,4,4,5,3,4,3,4,2,2,3,2,3,5,3,5,4,5,3,3,4,5,3,4,,4
2017/12/30 下午 12:49:16,我本人,射手座,3,3,3,3,4,4,3,5,5,3,4,4,3,2,1,1,2,1,4,1,4,5,5,5,1,2,4,5,3,5,,4
2017/12/30 下午 12:49:18,他人,射手座,5,1,3,3,2,3,1,1,3,1,5,1,1,2,2,1,1,1,5,1,2,3,4,4,2,3,3,1,2,3,,1
2017/12/30 下午 12:49:19,我本人,射手座,2,4,3,2,2,1,1,5,5,3,2,3,4,4,2,3,1,2,3,4,2,3,3,2,2,2,3,3,3,3,,3
2017/12/30 下午 12:49:20,我本人,牡羊座,2,4,2,2,2,3,2,3,3,4,2,4,4,4,2,2,2,2,4,4,4,4,3,3,5,4,4,4,4,4,,3
2017/12/30 下午 12:49:24,我本人,巨蟹座,4,2,5,1,4,2,2,2,5,3,4,1,5,5,2,1,3,2,3,1,4,5,5,5,5,4,5,5,4,4,,2
2017/12/30 下午 12:49:25,我本人,雙魚座,3,3,4,3,3,2,2,4,4,3,3,3,4,4,3,3,3,3,3,4,3,2,4,4,4,3,3,2,2,4,,3
2017/12/30 下午 12:49:26,我本人,處女座,3,4,5,3,5,4,3,3,5,4,4,4,5,4,3,3,5,5,3,5,3,4,4,5,5,4,4,5,4,4,,4
2017/12/30 下午 12:49:27,我本人,巨蟹座,3,3,3,4,2,3,2,3,4,4,5,2,4,3,2,1,2,2,2,3,4,4,3,5,5,4,5,5,2,2,,4
2017/12/30 下午 12:49:28,他人,雙子座,5,1,3,3,2,3,5,3,4,4,2,4,2,2,3,2,5,4,4,3,5,4,5,4,1,4,3,1,5,3,,5
2017/12/30 下午 12:49:30,我本人,巨蟹座,2,2,4,3,2,3,1,5,4,2,2,2,4,4,2,4,2,2,3,4,3,2,4,2,4,5,5,4,2,4,加油噢,1
2017/12/30 下午 12:49:31,我本人,雙子座,3,2,3,3,3,2,3,3,4,3,3,3,4,3,2,2,2,3,3,3,2,3,4,4,3,3,3,4,3,3,,2
2017/12/30 下午 12:49:35,我本人,牡羊座,2,4,4,3,3,3,3,4,3,3,4,4,2,3,3,2,3,2,3,3,3,3,4,4,2,3,3,4,2,2,,3
2017/12/30 下午 12:49:37,我本人,獅子座,4,4,1,3,3,2,4,4,3,4,4,4,3,2,2,2,5,2,3,4,4,4,5,4,4,3,3,3,4,4,,4
2017/12/30 下午 12:49:41,我本人,獅子座,5,2,4,3,3,3,3,4,3,3,4,3,3,3,3,3,1,3,3,3,2,3,4,3,3,5,3,3,2,1,,2
2017/12/30 下午 12:49:49,我本人,雙魚座,4,2,2,2,3,4,4,2,2,4,5,2,4,4,3,2,2,2,3,2,3,4,3,2,2,2,4,2,2,4,,3
2017/12/30 下午 12:49:50,我本人,雙魚座,4,2,2,2,3,4,4,2,2,4,5,2,4,4,3,2,2,2,3,2,3,4,3,2,2,2,4,2,2,4,,3
2017/12/30 下午 12:49:50,我本人,摩羯座,5,1,3,3,2,4,5,2,3,5,2,3,5,1,2,3,4,3,3,2,3,3,3,5,2,3,5,1,4,3,,4
2017/12/30 下午 12:49:51,我本人,天秤座,2,1,3,1,2,3,4,4,4,5,5,4,4,3,1,2,4,1,5,5,4,4,5,4,3,2,4,4,4,4,有些選項會比較難選，因為通常對普通朋友、跟身邊的人，會有不一樣的差異，所以選擇是有點困難😂，但內容有以均衡值來選。,3
2017/12/30 下午 12:49:51,我本人,水瓶座,4,3,5,5,2,4,3,3,4,3,5,4,3,5,2,4,4,1,4,3,3,3,5,5,3,3,3,3,2,4,,4
2017/12/30 下午 12:49:52,我本人,獅子座,2,5,3,4,4,2,2,5,3,3,1,5,4,2,2,1,4,1,5,5,4,4,5,3,4,2,4,5,5,4,,4
2017/12/30 下午 12:49:53,我本人,金牛座,2,3,4,2,3,4,4,4,4,3,2,3,2,2,2,3,2,2,2,3,4,4,4,5,4,4,4,4,3,4,,2
2017/12/30 下午 12:49:54,我本人,巨蟹座,3,3,4,4,4,2,3,3,4,3,4,3,5,2,4,3,5,4,3,4,3,4,3,3,5,5,4,4,4,3,,2
2017/12/30 下午 12:50:03,我本人,獅子座,2,3,3,2,3,2,2,4,4,4,5,3,3,2,2,3,1,3,4,4,3,4,5,3,1,4,3,3,3,1,,1
2017/12/30 下午 12:50:11,我本人,天秤座,3,3,4,2,3,1,5,5,5,3,5,3,5,5,3,3,3,1,5,3,3,5,5,5,5,4,5,5,5,5,,3
2017/12/30 下午 12:50:13,我本人,射手座,4,2,4,4,4,4,2,2,4,4,2,2,4,4,2,2,4,2,3,4,2,4,4,4,3,4,4,4,2,4,,4
2017/12/30 下午 12:50:15,我本人,水瓶座,3,3,5,3,3,2,4,5,4,5,4,2,3,5,3,3,3,1,5,3,3,3,5,3,3,3,3,3,3,4,,3
2017/12/30 下午 12:50:16,我本人,雙子座,2,3,3,4,4,3,3,3,3,2,4,3,3,3,4,4,3,4,3,4,3,3,4,3,4,4,3,3,3,3,,4
2017/12/30 下午 12:50:18,我本人,射手座,4,2,5,2,4,3,3,5,4,4,5,3,4,3,2,3,4,2,3,3,3,4,5,5,4,4,4,4,3,4,,3
2017/12/30 下午 12:50:22,我本人,雙魚座,3,4,5,3,4,2,4,3,5,2,3,5,4,4,2,4,3,4,4,3,3,4,4,5,3,4,2,4,4,4,,2
2017/12/30 下午 12:50:22,我本人,巨蟹座,3,3,4,4,3,3,2,2,5,4,5,3,4,4,3,2,3,3,2,4,4,3,4,3,5,4,4,5,2,3,,3
2017/12/30 下午 12:50:23,我本人,獅子座,2,4,3,3,3,3,3,4,4,4,3,4,4,4,3,3,4,3,4,3,3,3,4,4,4,3,4,4,4,4,,3
2017/12/30 下午 12:50:24,我本人,巨蟹座,2,3,5,3,4,2,3,2,3,2,5,2,5,4,4,1,3,5,3,4,3,3,2,5,5,5,4,5,2,4,,4
2017/12/30 下午 12:50:25,我本人,水瓶座,3,3,4,4,4,5,4,3,3,4,5,3,4,5,3,2,3,2,4,3,3,4,5,4,3,3,4,3,3,4,無,4
2017/12/30 下午 12:50:26,我本人,雙子座,2,2,3,4,4,2,4,5,4,4,3,3,2,1,2,2,1,2,2,1,4,4,5,4,1,2,4,4,5,5,,1
2017/12/30 下午 12:50:27,我本人,水瓶座,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2,2,3,4,4,4,4,4,4,3,3,,3
2017/12/30 下午 12:50:30,他人,獅子座,2,4,3,3,3,2,3,3,3,3,4,5,2,2,1,1,1,2,3,5,4,4,3,4,1,4,3,3,3,2,,3
2017/12/30 下午 12:50:31,我本人,金牛座,4,3,3,5,4,3,4,4,4,3,2,4,3,2,2,2,2,4,4,4,4,4,4,5,4,2,3,4,4,4,,2
2017/12/30 下午 12:50:33,我本人,天蠍座,3,3,4,4,5,4,4,3,3,4,4,4,3,3,3,3,4,4,4,3,3,5,5,4,3,3,3,3,4,4,,4
2017/12/30 下午 12:50:34,我本人,處女座,4,2,3,2,3,2,2,3,4,3,4,2,3,2,2,2,3,2,3,2,4,3,4,4,4,3,4,3,4,4,,2
2017/12/30 下午 12:50:35,我本人,雙魚座,4,3,4,4,2,4,1,3,2,2,1,3,2,5,3,4,3,5,5,3,1,3,4,3,5,3,5,5,2,1,,1
2017/12/30 下午 12:50:36,我本人,金牛座,4,3,3,4,3,3,2,3,3,2,3,3,3,4,3,2,2,1,3,4,3,4,4,5,3,4,4,3,3,3,,3
2017/12/30 下午 12:50:42,我本人,牡羊座,3,4,2,3,3,4,3,4,3,4,4,3,3,3,3,2,3,1,3,4,3,4,4,5,4,4,4,4,2,3,,3
2017/12/30 下午 12:50:44,他人,天秤座,3,2,4,4,2,3,2,4,3,5,5,3,4,4,3,3,4,3,4,4,2,2,3,5,4,5,4,2,1,3,,2
2017/12/30 下午 12:50:51,我本人,水瓶座,3,3,3,3,2,3,3,3,3,3,3,3,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,,3
2017/12/30 下午 12:50:52,我本人,水瓶座,3,2,4,4,4,3,4,2,3,3,4,4,3,3,2,3,4,3,4,3,4,4,4,4,3,3,4,3,3,4,,3
2017/12/30 下午 12:50:53,我本人,牡羊座,2,4,4,5,2,2,2,3,4,3,2,3,3,2,3,2,3,3,1,5,1,3,4,5,3,2,3,4,3,1,,1
2017/12/30 下午 12:51:00,我本人,射手座,3,4,3,3,4,2,3,5,5,3,3,3,4,4,3,3,3,2,3,3,3,4,4,4,5,4,4,4,3,4,,3
2017/12/30 下午 12:51:05,我本人,金牛座,3,3,3,4,3,2,2,4,4,3,4,3,4,3,2,4,4,4,4,4,4,4,4,5,4,2,4,5,4,4,,4
2017/12/30 下午 12:51:06,我本人,牡羊座,2,3,3,3,2,3,3,2,1,3,4,3,1,3,3,2,2,2,3,3,2,3,3,4,4,3,3,2,2,3,,3
2017/12/30 下午 12:51:09,我本人,巨蟹座,5,3,3,3,5,3,3,3,2,4,3,2,5,1,3,3,4,5,5,3,4,5,5,5,1,5,5,2,5,5,,3
2017/12/30 下午 12:51:10,我本人,獅子座,3,4,3,3,3,3,3,4,3,3,2,3,3,2,2,2,2,3,3,5,3,4,5,5,2,3,3,3,3,3,,2
2017/12/30 下午 12:51:13,我本人,天秤座,4,3,2,3,4,2,3,3,3,4,4,3,3,3,3,3,2,2,3,2,3,3,4,4,3,4,4,3,3,3,,2
2017/12/30 下午 12:51:13,我本人,牡羊座,3,1,2,4,3,3,4,3,2,3,4,2,3,3,2,3,4,3,2,5,3,4,4,5,1,4,3,2,3,3,,3
2017/12/30 下午 12:51:15,我本人,處女座,2,2,3,2,4,2,2,3,3,4,3,2,2,2,2,3,3,4,4,3,2,4,4,5,4,3,4,4,4,3,,2
2017/12/30 下午 12:51:17,我本人,雙魚座,2,4,5,4,4,3,1,4,4,2,5,3,5,5,3,4,4,2,4,4,3,4,5,3,5,4,4,5,5,5,,2
2017/12/30 下午 12:51:18,我本人,巨蟹座,4,3,5,5,4,3,4,3,1,2,5,1,3,2,3,2,3,2,4,5,3,3,5,5,4,5,3,4,2,3,,1
2017/12/30 下午 12:51:18,我本人,巨蟹座,3,3,4,4,3,3,2,2,2,3,4,3,3,3,3,2,3,3,3,4,2,3,4,4,4,4,3,4,2,3,,2
2017/12/30 下午 12:51:18,我本人,金牛座,3,2,3,4,4,3,4,4,4,2,3,3,3,2,3,2,2,4,5,3,3,5,5,4,3,4,4,3,3,3,,3
2017/12/30 下午 12:51:21,我本人,金牛座,4,4,3,3,3,2,2,2,3,3,5,2,3,1,3,2,1,5,4,3,2,3,2,5,4,3,3,4,1,3,金牛座萬歲,3
2017/12/30 下午 12:51:21,我本人,巨蟹座,3,3,3,2,3,4,2,3,4,3,4,2,4,2,3,2,2,3,3,3,2,3,5,4,3,3,3,4,3,3,,3
